dataset,scenario,seed,model,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,trace_sha256
ton_iot,drift,89,MedRF,50000,0.98956,0.9912822603516733,0.9734839881898706,0.9968023255813954,0.9850051706308169,0.9972748395845151,0.993197390889052,32333,467,55,17145,d527039db6b90f2a26bbd6d3f67ee8788b47a808691668347de1ea9ba1c9e685
ton_iot,drift,89,HeavyMLP,50000,0.98902,0.9895157402155417,0.9772974832310956,0.9911046511627907,0.9841526426695147,0.9922596515173,0.9891493130257966,32404,396,153,17047,d527039db6b90f2a26bbd6d3f67ee8788b47a808691668347de1ea9ba1c9e685
ton_iot,drift,107,TinyDT,50000,0.55878,0.6630821043675553,0.43795154578642365,0.9973837209302325,0.6086462897589185,0.9900034733054452,0.9687108339303692,10784,22016,45,17155,741c9432080f92e9b60dc7275442f31bdd2587888e353cd254941e8654ed1e1c
ton_iot,drift,107,LightLR,50000,0.98,0.9771795235394214,0.9735734331150608,0.968139534883721,0.9708488805970149,0.9938522520207035,0.9900190219568358,32348,452,548,16652,741c9432080f92e9b60dc7275442f31bdd2587888e353cd254941e8654ed1e1c
ton_iot,drift,107,MedRF,50000,0.98858,0.9903970504821327,0.9713168187744459,0.9962209302325581,0.9836112625929221,0.9964190353800341,0.9912826442833141,32294,506,65,17135,741c9432080f92e9b60dc7275442f31bdd2587888e353cd254941e8654ed1e1c
ton_iot,drift,107,HeavyMLP,50000,0.9876,0.9883228162223483,0.9737684306777917,0.9906395348837209,0.9821315349587872,0.9917790662223482,0.9881232344080969,32341,459,161,17039,741c9432080f92e9b60dc7275442f31bdd2587888e353cd254941e8654ed1e1c
ton_iot,drift,131,TinyDT,50000,0.55476,0.6599489506522972,0.4356994055180123,0.997093023255814,0.6064142003465224,0.990072142654566,0.9691725586752735,10588,22212,50,17150,15d066c5345638a5c93c237b05715cf23a2e5baea91217c6f45a96e449b45af5
ton_iot,drift,131,LightLR,50000,0.9798,0.9770132586500284,0.9730598410472183,0.9680813953488372,0.9705642340871998,0.993378619540556,0.98947517160694,32339,461,549,16651,15d066c5345638a5c93c237b05715cf23a2e5baea91217c6f45a96e449b45af5
ton_iot,drift,131,MedRF,50000,0.9885,0.9904328559273965,0.9707231440058893,0.9966279069767442,0.983504977193838,0.9965686755530345,0.9914396761273729,32283,517,58,17142,15d066c5345638a5c93c237b05715cf23a2e5baea91217c6f45a96e449b45af5
ton_iot,drift,131,HeavyMLP,50000,0.98694,0.9876262053318208,0.9726903959321259,0.9898255813953488,0.9811831830101144,0.9912717119256949,0.9874616971687104,32322,478,175,17025,15d066c5345638a5c93c237b05715cf23a2e5baea91217c6f45a96e449b45af5
ton_iot,drift,157,TinyDT,50000,0.55672,0.6616778927963698,0.43684156954552394,0.9980813953488372,0.607702927537258,0.9912166805516167,0.9715523993478412,10669,22131,33,17167,8db461cd292378a83bb927edf481df4fe6b9de555cf56a7086258e05eb896c17
ton_iot,drift,157,LightLR,50000,0.98044,0.9776669739081112,0.9742165575304023,0.9687790697674419,0.9714902052238806,0.9942189396625071,0.9898808744881858,32359,441,537,16663,8db461cd292378a83bb927edf481df4fe6b9de555cf56a7086258e05eb896c17
ton_iot,drift,157,MedRF,50000,0.98942,0.9913276375496314,0.9725072274814353,0.9974418604651163,0.9848167388995723,0.9970365126914351,0.9925263031771671,32315,485,44,17156,8db461cd292378a83bb927edf481df4fe6b9de555cf56a7086258e05eb896c17
ton_iot,drift,157,HeavyMLP,50000,0.9873,0.9878176403857062,0.9740170548846793,0.9894767441860465,0.9816860381276498,0.9907027899886558,0.9876331979704329,32346,454,181,17019,8db461cd292378a83bb927edf481df4fe6b9de555cf56a7086258e05eb896c17
ton_iot,drift,191,TinyDT,50000,0.552,0.657997376630743,0.43421385557411063,0.9977325581395349,0.6050914988893198,0.9908967642158253,0.9715058803301997,10439,22361,39,17161,76defdf562db614e2c913118cb5ca0648a39e61e7e3119a04dbb5d174ecf0e2a
ton_iot,drift,191,LightLR,50000,0.97982,0.9769317214974476,0.9735041235304439,0.9676744186046512,0.9705805172464064,0.9938970947958027,0.9895927188394851,32347,453,556,16644,76defdf562db614e2c913118cb5ca0648a39e61e7e3119a04dbb5d174ecf0e2a
ton_iot,drift,191,MedRF,50000,0.98892,0.9906700226885989,0.9722001588562351,0.9962790697674418,0.9840923447998622,0.9967687659529212,0.9919318337528095,32310,490,64,17136,76defdf562db614e2c913118cb5ca0648a39e61e7e3119a04dbb5d174ecf0e2a
ton_iot,drift,191,HeavyMLP,50000,0.98774,0.9884295235394214,0.9741581384712138,0.9906395348837209,0.9823297108760197,0.991955124432785,0.988720180605699,32348,452,161,17039,76defdf562db614e2c913118cb5ca0648a39e61e7e3119a04dbb5d174ecf0e2a
ciciot2023,stationary,11,TinyDT,20000,0.98125,0.8255813953488372,0.9805699481865285,1.0,0.9901896664486592,0.9994986574913214,0.9999451063269775,700,375,0,18925,292d1f8697e030530fbc6e76a8803e5f44976d8745e2e030517283451935c9b2
ciciot2023,stationary,11,LightLR,20000,0.9764,0.7804651162790698,0.9756663401556942,1.0,0.9876833150670633,0.9999974440109367,0.9999998549497967,603,472,0,18925,292d1f8697e030530fbc6e76a8803e5f44976d8745e2e030517283451935c9b2
ciciot2023,stationary,11,MedRF,20000,0.984,0.8511627906976744,0.9833723044946739,1.0,0.9916164527115536,0.9999958219409543,0.9999997624978686,755,320,0,18925,292d1f8697e030530fbc6e76a8803e5f44976d8745e2e030517283451935c9b2
ciciot2023,stationary,11,HeavyMLP,20000,0.9864,0.8734883720930233,0.9858311194457468,1.0,0.992865012328839,0.9999946422536942,0.9999996957815595,803,272,0,18925,292d1f8697e030530fbc6e76a8803e5f44976d8745e2e030517283451935c9b2
ciciot2023,stationary,23,TinyDT,20000,0.9823,0.8314285714285714,0.9816618317447161,1.0,0.9907460657708997,0.9990300037693178,0.9998934876167486,696,354,0,18950,01a9fa0f8625fc8cbb3081363dbd136fe1b70ca5664e0971185d2e253d257f66
ciciot2023,stationary,23,LightLR,20000,0.9776,0.7866666666666666,0.9769048355500567,1.0,0.9883175132992594,0.9999981907274783,0.9999998998087885,602,448,0,18950,01a9fa0f8625fc8cbb3081363dbd136fe1b70ca5664e0971185d2e253d257f66
